"","Tournament_Game","Year","Month","Day","Team1_Score","Team2_Score","Team1_Seed","Team1","Team2_Seed","Team2"
"328","NCAA, East - Regional Semifinal","2015","3","27",65,75,8,"NC State",4,"Louisville"
"329","NCAA, Midwest - Regional Final","2015","3","28",66,68,3,"Notre Dame",1,"Kentucky"
"330","NCAA, West - Regional Final","2015","3","28",85,78,1,"Wisconsin",2,"Arizona"
"331","NCAA, South - Regional Final","2015","3","29",52,66,2,"Gonzaga",1,"Duke"
"332","NCAA, East - Regional Final","2015","3","29",76,70,7,"Michigan State",4,"Louisville"
"333","NCAA, National - National Semifinal","2015","4","4",61,81,7,"Michigan State",1,"Duke"
"334","NCAA, National - National Semifinal","2015","4","4",71,64,1,"Wisconsin",1,"Kentucky"
"335","NCAA, National - National Final","2015","4","6",63,68,1,"Wisconsin",1,"Duke"
"336","NCAA, South - First Four","2016","3","15",70,50,11,"Wichita State",11,"Vanderbilt"
"337","NCAA, East - First Four","2016","3","15",65,96,16,"Fairleigh Dickinson",16,"Florida Gulf Coast"
"338","NCAA, East - First Four","2016","3","16",62,67,11,"Tulsa",11,"Michigan"
"339","NCAA, West - First Four","2016","3","16",55,59,16,"Southern",16,"Holy Cross"
"340","NCAA, South - First Round","2016","3","17",79,105,16,"Austin Peay",1,"Kansas"
"341","NCAA, East - First Round","2016","3","17",67,83,16,"Florida Gulf Coast",1,"UNC"
"342","NCAA, Midwest - First Round","2016","3","17",45,81,16,"Hampton",1,"Virginia"
"343","NCAA, South - First Round","2016","3","17",72,79,14,"Buffalo",3,"Miami FL"
"344","NCAA, Midwest - First Round","2016","3","17",69,80,14,"Fresno State",3,"Utah"
"345","NCAA, Midwest - First Round","2016","3","17",81,94,13,"Iona",4,"Iowa State"
"346","NCAA, West - First Round","2016","3","17",85,93,13,"UNC Wilmington",4,"Duke"
"347","NCAA, East - First Round","2016","3","17",57,85,13,"Stony Brook",4,"Kentucky"
"348","NCAA, Midwest - First Round","2016","3","17",85,83,12,"Little Rock",5,"Purdue"
"349","NCAA, East - First Round","2016","3","17",74,99,12,"Chattanooga",5,"Indiana"
"350","NCAA, West - First Round","2016","3","17",79,75,12,"Yale",5,"Baylor"
"351","NCAA, Midwest - First Round","2016","3","17",68,52,11,"Gonzaga",6,"Seton Hall"
"352","NCAA, South - First Round","2016","3","17",65,55,11,"Wichita State",6,"Arizona"
"353","NCAA, Midwest - First Round","2016","3","17",71,61,9,"Butler",8,"Texas Tech"
"354","NCAA, South - First Round","2016","3","17",74,67,9,"UConn",8,"Colorado"
"355","NCAA, East - First Round","2016","3","17",70,69,9,"Providence",8,"USC"
"356","NCAA, West - First Round","2016","3","18",52,91,16,"Holy Cross",1,"Oregon"
